name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,1,0,59,1,"Jump Shot","2PT Field Goal",17,"Boston Celtics",17,173,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,4,2,33,0,"Jump Shot","3PT Field Goal",26,"Boston Celtics",8,267,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,1,2,02,1,"Jump Shot","2PT Field Goal",20,"Boston Celtics",16,203,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,4,1,13,0,"Jump Shot","3PT Field Goal",26,"Boston Celtics",-76,252,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,4,7,59,1,"Jump Shot","3PT Field Goal",25,"Boston Celtics",146,205,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,4,3,00,0,"Jump Shot","3PT Field Goal",26,"Boston Celtics",-98,247,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-09,2017,609,1610612742,400975347,4,10,42,1,"Jump Shot","3PT Field Goal",24,"Orlando Magic",-158,187,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-09,2017,609,1610612742,400975347,2,8,55,0,"Jump Shot","2PT Field Goal",18,"Orlando Magic",29,179,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-09,2017,609,1610612742,400975347,2,10,27,0,"Jump Shot","2PT Field Goal",19,"Orlando Magic",-2,190,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-04-03,2017,609,1610612742,400975910,3,8,48,1,"Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",-73,246,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-13,2017,609,1610612742,400975373,4,9,32,1,"Jump Shot","3PT Field Goal",24,"Los Angeles Lakers",83,232,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-28,2017,609,1610612742,400974832,4,11,06,1,"Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",71,241,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-12,2017,609,1610612742,400974942,3,8,10,0,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",-63,236,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-12,2017,609,1610612742,400974942,1,8,55,0,"Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",-30,251,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-12,2017,609,1610612742,400974942,4,8,50,0,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",-102,222,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-12,2017,609,1610612742,400974942,1,8,33,0,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",52,244,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-12,2017,609,1610612742,400974942,4,11,04,0,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",0,241,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-12,2017,609,1610612742,400974942,4,9,50,1,"Jump Shot","2PT Field Goal",17,"Oklahoma City Thunder",-14,171,0,0.00,,0.00,0.00
